OntologyID,Class,Instance
EN_1000002,dataset,Stanford Question Answering Dataset
EN_1000002,dataset,SQUAD
EN_1000003,dataset,ImageNet
EN_1000004,dataset,Stanford Natural Language Inference corpus
EN_1000004,dataset,SNLI
EN_1000005,dataset,MultiNLI
EN_1000006,dataset,Simple Wiki
EN_1000007,dataset,IMDB Reviews
EN_1000007,dataset,IMDB Dataset
EN_1000008,dataset,Wordnet
EN_1000009,dataset,NewsQA
EN_1000010,dataset,MS Marco
EN_1000011,dataset,TweetQA
EN_1000012,dataset,WikiQA
EN_1000013,dataset,bAbi
EN_1000014,dataset,CIFAR-10
EN_1000015,dataset,MS Coco
EN_1000016,dataset,MSLR-WEB30K
EN_1000017,dataset,Yahoo C14B
EN_1000018,dataset,LETOR4.0
EN_1000019,dataset,DBLP-Citation-network
EN_1000038,metric,Euclidean
EN_1000039,metric,Manhattan
EN_1000040,metric,Minkowski
EN_1000041,metric,Levenshtein
EN_1000043,metric,Bilingual evaluation understudy
EN_1000043,metric,BLEU
EN_1000044,metric,Recall-Oriented Understudy for Gisting Evaluation
EN_1000044,metric,ROUGE
EN_1000045,metric,F1
EN_1000047,metric,Kappa statistics
EN_1000050,metric,Mean Average Precision
EN_1000056,hardware,Intel
EN_1000058,hardware,NVIDIA_TESLA_K80
EN_1000059,hardware,NVIDIA_TESLA_P4
EN_1000060,hardware,NVIDIA_TESLA_P100
EN_1000061,hardware,NVIDIA_TESLA_T4
EN_1000062,hardware,NVIDIA_TESLA_V100
EN_1000063,hardware,GeForce GTX TITAN X
EN_1000064,hardware,GeForce GT 1030
EN_1000065,hardware,GeForce GTX 1050
EN_1000066,hardware,GeForce GTX 1050 Ti
EN_1000067,hardware,GeForce GTX 1060
EN_1000068,hardware,GeForce GTX 1070
EN_1000069,hardware,GeForce GTX 1070 Ti
EN_1000070,hardware,GeForce GTX 1080
EN_1000071,hardware,GeForce GTX 1080 Ti
EN_1000073,hardware,TPU v2
EN_1000074,hardware,TPU v3
EN_1000055,hardware,CPU
EN_1000056,hardware,GPU 
EN_1000072,hardware,TPU
EN_1000076,learning_paradigm,Supervised learning
EN_1000077,learning_paradigm,Unsupervised learning
EN_1000078,learning_paradigm,Semi-supervised learning
EN_1000079,learning_paradigm,Reinforcement learning
EN_1000080,learning_paradigm,Self learning
EN_1000081,learning_paradigm,Transfer learning
EN_1000082,learning_paradigm,Curriculum learning
EN_1000084,software_framework,Tensorflow
EN_1000085,software_framework,PyTorch
EN_1000086,software_framework,Theano
EN_1000087,software_framework,Apache MXNet
EN_1000088,software_framework,CAFFE
EN_1000089,software_framework,Torch
EN_1000090,software_framework,Keras
EN_1000091,software_framework,DyNet
EN_1000092,software_framework,MxNet
EN_1000093,software_framework,Chainer
EN_1000096,architectural_element,Convolutional layer
EN_1000097,architectural_element,Pooling layer
EN_1000098,architectural_element,ReLU layer
EN_1000099,architectural_element,Fully connected layer
EN_1000100,architectural_element,Softmax layer
EN_1000101,architectural_element,Hidden layer
EN_1000102,architectural_element,Attention layer
EN_1000107,architectural_element,Softmax
EN_1000108,architectural_element,ReLu
EN_1000109,architectural_element,Sigmoid
EN_1000112,machine_learning_algorithm,Ordinary Least Squares Regression
EN_1000112,machine_learning_algorithm,OLSR
EN_1000113,machine_learning_algorithm,Linear Regression
EN_1000114,machine_learning_algorithm,Logistic Regression
EN_1000115,machine_learning_algorithm,Stepwise Regression
EN_1000116,machine_learning_algorithm,Multivariate Adaptive Regression Spline
